Ethnicity,Gender,Variables,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Indians,Both,30 - 34 Years,21069,21905,22492,22855,23373,23699,24327,25123,25690,25723,25242,24894,25505,25680,26211,28233,29538,30656,31668,35384,36415,36171,35317,34287,32386,30273,27781,25858,24723
Indians,Both,35 - 39 Years,16590,17800,18759,19862,21085,22268,23419,24451,25364,26249,26653,27082,27866,27454,27612,28438,29262,30203,31092,33514,35085,35490,35813,35697,35755,35478,35342,34578,33661
Indians,Both,40 - 44 Years,13315,14614,15115,15927,16692,17474,18776,19877,21228,22520,23670,24538,25431,25571,26420,27003,27821,28500,28803,29544,30093,30512,31239,31944,32716,33534,33829,34164,34181
Indians,Both,45 - 49 Years,8565,8434,9531,10712,12039,13784,15139,15678,16546,17354,18045,19185,20124,20909,22065,23224,24204,25140,25690,26690,27251,27801,28253,28417,28494,28684,29035,29727,30480
Indians,Both,50 - 54 Years,8238,8708,9141,9218,9101,8613,8498,9591,10818,12142,13875,15134,15609,15643,16475,17171,18425,19477,20653,21813,22443,23466,24324,24990,25726,25955,26523,27019,27280
Indians,Both,55 - 59 Years,8193,7886,7553,7343,7541,8020,8482,8903,8967,8846,8359,8194,9261,9890,11233,12863,14119,14620,15287,16085,16308,17485,18317,19366,20447,21646,22471,23305,23858
Indians,Both,60 - 64 Years,7884,8110,8189,8204,8063,7752,7543,7237,7064,7247,7662,8000,8310,7371,7445,7143,7148,8246,9380,10713,12009,13213,13650,14318,14953,15647,16676,17502,18500
Indians,Both,65 - 69 Years,5568,5858,6145,6568,6920,7319,7483,7594,7628,7536,7254,6963,6605,5861,5966,6277,6530,6783,6724,6785,6376,6427,7440,8575,9759,11230,12372,12797,13432
Indians,Both,70 - 74 Years,3088,3373,3637,3867,4114,4489,4924,5412,5973,6309,6666,6562,6478,5479,5447,5377,5326,5171,5074,5235,5374,5597,5815,5782,5807,5626,5710,6684,7788
Indians,Both,75 - 79 Years,1451,1528,1646,1739,1892,2087,2257,2441,2590,2926,3388,3944,4361,2812,3270,3649,3909,4127,4319,4344,4047,4104,4091,4159,4292,4517,4715,4873,4838
Indians,Both,80 - 84 Years,554,622,735,795,856,899,927,980,1019,1108,1190,1327,1518,1481,1610,1725,1852,1950,2108,2393,2515,2639,2789,2931,2996,3097,3171,3160,3178
Indians,Both,85 Years & Over,233,246,300,347,386,431,461,532,582,606,621,689,800,734,875,981,1118,1232,1372,1530,1494,1661,1833,2084,2273,2535,2684,2797,2888
Indians,Male,0 - 4 Years,9072,9494,9841,10079,10283,10405,10485,10672,10787,10871,10685,10825,11053,11115,11227,11655,12031,12163,12314,12798,12116,10916,10015,8983,8530,8621,8635,8703,8571
Indians,Male,5 - 9 Years,7854,8119,8397,8699,9243,9695,10207,10671,11155,11413,11495,11531,11764,11561,11693,11993,12300,12463,12611,13201,13313,13420,13571,13577,13285,13032,12637,12021,11518
Indians,Male,10 - 14 Years,6434,6796,7162,7647,8029,8335,8646,8964,9326,9862,10320,10720,11109,11293,11492,11624,11720,11725,11705,11835,12020,12108,12272,12326,12534,12541,12722,13045,13329
Indians,Male,15 - 19 Years,7417,6974,6695,6585,6576,6753,7147,7512,7995,8307,8591,8808,9100,9246,9688,10139,10539,10771,11071,11214,11314,11332,11362,11232,11241,11319,11463,11678,11849
Indians,Male,20 - 24 Years,9080,8613,8237,7926,7677,7483,7225,7069,7020,6979,7129,7470,7843,8099,8452,8833,9182,9492,9811,10323,10621,10752,10863,10987,11075,11125,11125,11163,11058
Indians,Male,25 - 29 Years,10979,10838,10663,10403,10019,9791,9733,10034,10290,10131,9459,8739,8800,8703,8617,9379,10038,10820,12088,14031,13581,12389,11553,11080,10907,10966,11136,11330,11510
Indians,Male,30 - 34 Years,10938,11334,11604,11655,11796,11910,12300,12852,13387,13516,13218,12952,13291,13361,13454,14748,15365,15951,16639,18783,18990,18481,17505,16555,15296,14105,12869,11997,11541
Indians,Male,35 - 39 Years,8425,9090,9558,10080,10837,11534,12170,12761,13231,13648,13818,14132,14745,14914,15099,15827,16549,17255,17879,19482,20299,20231,20103,19702,19363,18689,18172,17284,16330
Indians,Male,40 - 44 Years,6838,7421,7643,8082,8464,8831,9569,10176,10860,11708,12420,12887,13386,13560,14019,14416,15062,15735,16117,16847,17382,17781,18282,18724,19086,19461,19315,19183,18881
Indians,Male,45 - 49 Years,4751,4604,5039,5593,6165,7010,7610,7870,8361,8800,9110,9763,10314,10807,11566,12351,12916,13444,13710,14330,14699,15156,15624,15948,16192,16484,16798,17277,17731
Indians,Male,50 - 54 Years,4371,4669,5016,5112,5065,4697,4542,4988,5574,6146,6987,7566,7776,7888,8375,8695,9453,10070,10674,11424,11928,12521,13007,13329,13716,13913,14316,14776,15181
Indians,Male,55 - 59 Years,5158,4662,4192,3842,3838,4160,4455,4781,4856,4802,4464,4284,4722,4996,5621,6409,7021,7272,7676,8124,8260,8949,9420,9961,10655,11401,11865,12325,12572
Indians,Male,60 - 64 Years,5625,5720,5701,5564,5282,4774,4359,3903,3591,3584,3858,4096,4332,3681,3800,3633,3615,4102,4656,5292,5928,6474,6712,7124,7494,7808,8377,8848,9365
Indians,Male,65 - 69 Years,4146,4372,4506,4789,4980,5186,5218,5209,5097,4830,4368,3931,3454,2842,2791,2973,3122,3251,3235,3314,3132,3128,3588,4166,4686,5412,5945,6170,6543
Indians,Male,70 - 74 Years,2320,2505,2694,2815,3000,3294,3635,3966,4368,4548,4710,4489,4298,3393,3228,2989,2784,2533,2327,2315,2382,2508,2639,2641,2687,2614,2656,3100,3652
Indians,Male,75 - 79 Years,1054,1126,1225,1283,1384,1516,1598,1720,1806,2071,2454,2905,3185,1734,2005,2210,2339,2450,2515,2422,2043,1948,1835,1778,1767,1882,1970,2055,2052
Indians,Male,80 - 84 Years,386,431,499,556,604,638,672,703,712,758,798,878,1021,946,1032,1087,1158,1165,1219,1396,1406,1434,1487,1538,1505,1468,1408,1319,1280
Indians,Male,85 Years & Over,148,163,199,229,260,293,322,364,412,438,453,509,575,503,595,660,744,822,902,998,913,1020,1110,1238,1340,1463,1526,1544,1533
Indians,Female,0 - 4 Years,8492,9022,9513,9692,9910,9966,10028,10111,10315,10338,10123,10119,10412,10522,10616,11099,11604,11914,12021,12904,12309,11121,10340,9293,8848,8813,8677,8337,8118
Indians,Female,5 - 9 Years,7350,7527,7809,8212,8709,9135,9785,10387,10706,11019,11074,11080,11201,11144,11192,11538,11789,12039,12178,12781,13242,13460,13740,13836,13593,13237,12778,12231,11472
Indians,Female,10 - 14 Years,6133,6428,6705,7131,7478,7806,8034,8395,8892,9416,9834,10378,10926,10927,11201,11343,11426,11436,11626,11781,11926,12035,12152,12288,12435,12634,12954,13189,13429
Indians,Female,15 - 19 Years,6988,6725,6508,6205,6126,6394,6744,7088,7623,7946,8235,8384,8704,8963,9408,9813,10363,10805,11017,11380,11455,11473,11432,11411,11338,11370,11476,11584,11806
Indians,Female,20 - 24 Years,8686,8302,8066,8029,7942,7729,7576,7603,7562,7585,7655,7893,8264,8598,8870,9406,9611,9914,10411,11178,11067,11092,11306,11286,11377,11376,11313,11242,11210
Indians,Female,25 - 29 Years,10815,10859,10810,10504,10222,9945,9900,10106,10634,10871,10641,10509,10879,10843,11021,12225,13241,13748,14408,16053,15745,14372,13538,12818,12254,11696,11651,11834,11851
Indians,Female,30 - 34 Years,10131,10570,10888,11201,11577,11789,12027,12271,12303,12207,12024,11942,12214,12319,12757,13485,14173,14705,15029,16601,17425,17690,17812,17732,17090,16168,14912,13861,13182
Indians,Female,35 - 39 Years,8165,8711,9202,9782,10248,10734,11249,11690,12133,12602,12835,12950,13121,12540,12513,12611,12713,12948,13213,14032,14786,15259,15710,15995,16392,16789,17170,17294,17331
Indians,Female,40 - 44 Years,6477,7193,7472,7846,8227,8643,9207,9701,10368,10813,11250,11651,12045,12011,12401,12587,12759,12765,12686,12697,12711,12731,12957,13220,13630,14073,14514,14981,15300
Indians,Female,45 - 49 Years,3814,3830,4493,5119,5874,6774,7529,7808,8185,8554,8935,9422,9810,10102,10499,10873,11288,11696,11980,12360,12552,12645,12629,12469,12302,12200,12237,12450,12749
Indians,Female,50 - 54 Years,3867,4039,4125,4106,4036,3916,3956,4603,5245,5996,6888,7568,7833,7755,8100,8476,8972,9407,9979,10389,10515,10945,11317,11661,12010,12042,12207,12243,12099
Indians,Female,55 - 59 Years,3035,3224,3361,3501,3703,3860,4028,4122,4110,4045,3895,3910,4539,4894,5612,6454,7098,7348,7611,7961,8048,8536,8897,9405,9792,10245,10606,10980,11286
Indians,Female,60 - 64 Years,2259,2391,2488,2641,2781,2978,3183,3334,3473,3663,3804,3904,3978,3690,3645,3510,3533,4144,4724,5421,6081,6739,6938,7194,7459,7839,8299,8654,9135
Indians,Female,65 - 69 Years,1422,1486,1640,1779,1939,2133,2265,2385,2531,2706,2886,3032,3151,3019,3175,3304,3408,3532,3489,3471,3244,3299,3852,4409,5073,5818,6427,6627,6889
Indians,Female,70 - 74 Years,768,868,943,1052,1113,1195,1289,1446,1605,1761,1956,2073,2180,2086,2219,2388,2542,2638,2747,2920,2992,3089,3176,3141,3120,3012,3054,3584,4136
Indians,Female,75 - 79 Years,397,403,421,456,508,571,659,722,784,854,934,1039,1176,1078,1265,1439,1570,1677,1804,1922,2004,2156,2256,2381,2525,2635,2745,2818,2786
Indians,Female,80 - 84 Years,168,191,236,239,252,261,255,277,308,350,392,449,497,535,578,638,694,785,889,997,1109,1205,1302,1393,1491,1629,1763,1841,1898
Indians,Female,85 Years & Over,85,83,101,118,125,139,139,168,170,168,168,180,225,231,280,321,374,410,470,532,581,641,723,846,933,1072,1158,1253,1355
Other,Both,0 - 4 Years,3768,4159,4535,4707,4744,4738,4624,4497,4394,4260,4166,4375,4654,4837,5202,6009,6984,7914,8709,9756,9491,8426,7702,7021,6429,6497,6583,6600,6441
Other,Both,5 - 9 Years,2548,2756,2924,3204,3472,3599,3854,4104,4167,4173,4163,4384,4698,4819,5246,6184,7188,8189,8762,9954,10378,10269,10365,10411,10309,9690,9131,8541,8049
Other,Both,10 - 14 Years,1820,1982,2123,2263,2425,2637,2803,2965,3246,3444,3570,3848,4160,4260,4419,4878,5503,6134,6947,8152,8741,9079,9246,9284,9333,9340,9327,9492,9538
Other,Both,15 - 19 Years,1808,1780,1784,1759,1820,1935,2061,2154,2300,2496,2778,2921,3100,3279,3486,3790,4270,4717,5241,5772,6215,6518,6852,7227,7645,7988,8308,8408,8497
Other,Both,20 - 24 Years,2045,2048,2015,2098,2136,2085,2017,2065,2076,2118,2207,2318,2462,2620,2945,3426,3778,4166,4640,5327,5272,5161,5301,5478,5530,5770,6009,6305,6606
Other,Both,25 - 29 Years,2869,2917,2981,2958,2963,2895,2891,2907,3129,3182,3169,3092,3285,3320,3601,4306,5208,6266,7662,10408,10089,8430,7099,6458,6114,5951,6119,6225,6351
Other,Both,30 - 34 Years,2987,3168,3271,3476,3636,3695,3813,3970,4084,4220,4340,4597,5026,5458,5989,7631,9177,10994,12189,15289,15786,15032,14079,13088,11940,10859,9931,9109,8697
Other,Both,35 - 39 Years,2445,2597,2830,3008,3209,3464,3723,3913,4207,4564,4919,5244,5872,6374,6979,8483,10338,12134,13502,16047,16980,16828,16767,16402,15938,15336,15016,14313,13660
Other,Both,40 - 44 Years,2163,2420,2457,2497,2634,2724,2938,3230,3546,3867,4323,4697,5207,5662,6355,7402,8712,10101,11129,12802,14046,14672,15278,15949,16319,16391,16140,15896,15500
Other,Both,45 - 49 Years,1212,1231,1519,1790,2080,2386,2642,2736,2867,3163,3365,3619,4022,4331,4801,5538,6449,7358,8154,9408,10230,10905,11648,12295,12712,13320,13870,14344,14801
Other,Both,50 - 54 Years,1325,1390,1400,1434,1433,1423,1420,1721,2033,2401,2829,3118,3278,3013,3395,3783,4369,4966,5465,6194,6747,7365,7892,8471,9042,9447,9957,10548,11049
Other,Both,55 - 59 Years,1266,1243,1300,1303,1349,1405,1462,1481,1530,1554,1586,1604,1946,1945,2334,2797,3183,3381,3599,4000,4276,4646,4989,5378,5752,6135,6521,6893,7405
Other,Both,60 - 64 Years,1113,1203,1202,1219,1241,1260,1250,1301,1328,1380,1448,1508,1525,1354,1416,1409,1510,1892,2236,2614,3045,3326,3385,3517,3707,3864,4159,4414,4694
Other,Both,65 - 69 Years,910,925,982,1026,1068,1103,1160,1163,1189,1197,1223,1230,1268,1136,1166,1213,1277,1308,1376,1426,1438,1509,1804,2109,2372,2679,2900,2960,3065
Other,Both,70 - 74 Years,601,643,699,736,759,806,846,925,969,1020,1078,1115,1095,954,981,997,993,1037,1057,1092,1183,1213,1221,1250,1278,1228,1277,1531,1792
Other,Both,75 - 79 Years,397,408,404,415,449,472,499,545,574,617,660,730,816,597,655,693,783,795,823,858,868,877,922,936,971,1013,1039,1022,1049
Other,Both,80 - 84 Years,206,213,227,255,279,281,281,285,303,313,335,357,397,375,411,414,431,440,464,508,559,635,650,695,705,691,678,732,738
Other,Both,85 Years & Over,127,148,162,182,187,209,221,245,266,289,284,312,325,260,277,285,309,346,384,406,410,433,477,527,585,609,658,680,718
Other,Male,0 - 4 Years,1943,2169,2357,2434,2447,2430,2346,2334,2261,2184,2119,2229,2349,2429,2658,3076,3559,3970,4336,4749,4589,4080,3651,3299,3009,3059,3108,3154,3150
Other,Male,5 - 9 Years,1293,1412,1495,1644,1787,1867,2011,2129,2158,2165,2157,2224,2413,2438,2619,3025,3519,4000,4302,4922,5067,4995,5018,4989,4884,4538,4263,3941,3701
Other,Male,10 - 14 Years,928,996,1071,1148,1237,1353,1444,1525,1664,1765,1833,1977,2105,2158,2230,2419,2690,2997,3343,3842,4112,4273,4364,4421,4492,4509,4456,4482,4536
Other,Male,15 - 19 Years,942,944,928,884,920,966,1027,1071,1149,1245,1383,1435,1506,1619,1705,1838,2052,2217,2446,2622,2782,2938,3156,3351,3545,3736,3905,3990,4045
Other,Male,20 - 24 Years,916,867,859,893,921,921,932,954,922,952,982,1036,1097,1205,1359,1576,1659,1777,1929,2164,2175,2191,2272,2360,2432,2587,2702,2937,3139
Other,Male,25 - 29 Years,1237,1228,1170,1111,1034,984,970,1033,1150,1221,1206,1192,1251,1250,1401,1662,2010,2475,3010,4096,3826,3158,2586,2364,2201,2136,2168,2220,2324
Other,Male,30 - 34 Years,1323,1345,1338,1355,1376,1374,1431,1473,1553,1595,1650,1713,1935,2102,2351,3146,3830,4664,5186,6558,6756,6318,5834,5282,4632,3954,3418,2900,2678
Other,Male,35 - 39 Years,1159,1199,1272,1338,1382,1463,1540,1604,1704,1898,2073,2252,2537,2866,3123,3890,4726,5602,6276,7552,7936,7854,7737,7462,7094,6683,6337,5830,5256
Other,Male,40 - 44 Years,1090,1244,1242,1235,1284,1295,1351,1463,1621,1762,1971,2146,2408,2644,3030,3640,4410,5129,5703,6432,6978,7166,7475,7743,7961,7900,7717,7433,7032
Other,Male,45 - 49 Years,619,646,804,946,1076,1208,1374,1426,1460,1610,1700,1797,2006,2198,2424,2834,3308,3821,4307,4992,5451,5812,6138,6482,6513,6761,6860,7065,7225
Other,Male,50 - 54 Years,634,676,697,712,742,755,756,921,1095,1280,1508,1706,1803,1660,1889,2093,2405,2725,3010,3380,3693,3976,4256,4538,4839,5107,5371,5595,5800
Other,Male,55 - 59 Years,627,605,626,626,643,676,703,729,757,803,836,858,1076,1114,1315,1587,1848,1963,2089,2315,2465,2642,2824,3039,3212,3391,3577,3740,3949
Other,Male,60 - 64 Years,547,595,597,616,635,625,606,613,624,651,694,739,761,691,781,810,894,1135,1352,1568,1803,1985,2004,2052,2162,2233,2370,2499,2670
Other,Male,65 - 69 Years,460,447,482,506,522,544,567,571,599,603,598,597,595,535,550,595,650,678,724,791,833,900,1090,1284,1411,1578,1711,1728,1766
Other,Male,70 - 74 Years,279,319,347,359,372,408,423,471,487,496,531,535,525,461,465,463,454,473,497,519,594,620,632,645,704,707,750,907,1067
Other,Male,75 - 79 Years,168,167,171,183,207,213,243,262,274,299,334,371,416,287,303,315,342,353,381,399,390,398,420,437,460,501,519,516,529
Other,Male,80 - 84 Years,87,91,86,89,97,102,105,117,130,137,149,168,184,160,181,196,205,208,207,217,237,259,275,310,316,303,304,332,333
Other,Male,85 Years & Over,38,43,50,61,63,66,71,79,86,95,94,109,122,89,100,98,111,122,132,146,151,165,182,198,221,230,247,262,281
Other,Female,0 - 4 Years,1825,1990,2178,2273,2297,2308,2279,2163,2133,2076,2047,2146,2305,2408,2544,2933,3425,3944,4373,5007,4902,4346,4051,3722,3420,3438,3475,3446,3291
Other,Female,5 - 9 Years,1255,1343,1429,1560,1686,1732,1842,1975,2008,2008,2006,2160,2285,2381,2627,3159,3669,4189,4460,5032,5311,5274,5347,5422,5425,5152,4868,4600,4348
Other,Female,10 - 14 Years,892,986,1052,1115,1188,1285,1359,1440,1581,1679,1737,1871,2055,2102,2189,2459,2813,3137,3604,4310,4629,4806,4882,4863,4841,4831,4871,5010,5002
Other,Female,15 - 19 Years,866,836,856,874,900,970,1034,1083,1151,1250,1395,1486,1594,1660,1781,1952,2218,2500,2795,3150,3433,3580,3696,3876,4100,4252,4403,4418,4452
Other,Female,20 - 24 Years,1129,1181,1156,1205,1215,1164,1085,1112,1153,1165,1225,1282,1365,1415,1586,1850,2119,2389,2711,3163,3097,2970,3029,3118,3098,3183,3307,3368,3467
Other,Female,25 - 29 Years,1632,1689,1811,1847,1929,1911,1922,1874,1979,1961,1963,1900,2034,2070,2200,2644,3198,3791,4652,6312,6263,5272,4513,4094,3913,3815,3951,4005,4027
Other,Female,30 - 34 Years,1664,1823,1933,2121,2260,2321,2383,2497,2531,2625,2690,2884,3091,3356,3638,4485,5347,6330,7003,8731,9030,8714,8245,7806,7308,6905,6513,6209,6019
Other,Female,35 - 39 Years,1286,1398,1558,1670,1827,2001,2183,2310,2504,2666,2846,2992,3335,3508,3856,4593,5612,6532,7226,8495,9044,8974,9030,8940,8844,8653,8679,8483,8404
Other,Female,40 - 44 Years,1073,1176,1215,1262,1350,1430,1587,1767,1925,2105,2352,2551,2799,3018,3325,3762,4302,4972,5426,6370,7068,7506,7803,8206,8358,8491,8423,8463,8468
Other,Female,45 - 49 Years,593,585,715,844,1003,1179,1268,1310,1407,1553,1665,1822,2016,2133,2377,2704,3141,3537,3847,4416,4779,5093,5510,5813,6199,6559,7010,7279,7576
Other,Female,50 - 54 Years,691,713,703,723,691,669,664,800,939,1121,1321,1412,1475,1353,1506,1690,1964,2241,2455,2814,3054,3389,3636,3933,4203,4340,4586,4953,5249
Other,Female,55 - 59 Years,639,638,675,677,707,730,759,752,774,750,750,746,870,831,1019,1210,1335,1418,1510,1685,1811,2004,2165,2339,2540,2744,2944,3153,3456
Other,Female,60 - 64 Years,566,608,605,603,606,635,645,689,703,729,754,769,764,663,635,599,616,757,884,1046,1242,1341,1381,1465,1545,1631,1789,1915,2024
Other,Female,65 - 69 Years,450,478,499,520,546,559,593,592,590,594,625,633,673,601,616,618,627,630,652,635,605,609,714,825,961,1101,1189,1232,1299
Other,Female,70 - 74 Years,322,324,352,376,387,399,423,454,482,524,547,580,570,493,516,534,539,564,560,573,589,593,589,605,574,521,527,624,725
Other,Female,75 - 79 Years,229,241,233,232,243,259,256,283,300,318,326,359,400,310,352,378,441,442,442,459,478,479,502,499,511,512,520,506,520
Other,Female,80 - 84 Years,119,122,141,166,182,179,176,168,174,176,186,189,213,215,230,218,226,232,257,291,322,376,375,385,389,388,374,400,405
Other,Female,85 Years & Over,89,106,112,120,124,143,150,166,181,194,190,203,203,171,177,187,198,224,252,260,259,268,295,329,364,379,411,418,437
